# R2D2 grid information
0	-0	0.04
-1	0	0

0	0	0
-1	5	-0

1	0	0.08
-1	-0	0.04

1	-0	0.04
0	5	0.04

2	-0	0.12
-1	0	0.08

2	0	0.08
1	5	0.08

3	0	0.16
-1	-0	0.12

3	-0	0.12
2	5	0.12

4	-0	0.2
-1	0	0.16

4	0	0.16
3	5	0.16

5	0	0.24
-1	-0	0.2

5	-0	0.2
4	5	0.2

6	-0	0.28
-1	0	0.24

6	0	0.24
5	5	0.24

7	0	0.32
-1	-0	0.28

7	-0	0.28
6	5	0.28

8	-0	0.36
-1	0	0.32

8	0	0.32
7	5	0.32

9	0	0.4
-1	-0	0.36

9	-0	0.36
8	5	0.36

10	-0	0.44
-1	0	0.4

10	0	0.4
9	5	0.4

11	0	0.48
-1	-0	0.44

11	-0	0.44
10	5	0.44

12	-0	0.52
-1	0	0.48

12	0	0.48
11	5	0.48

13	0	0.56
-1	-0	0.52

13	-0	0.52
12	5	0.52

14	-0	0.6
-1	0	0.56

14	0	0.56
13	5	0.56

15	0	0.64
-1	-0	0.6

15	-0	0.6
14	5	0.6

16	-0	0.68
-1	0	0.64

16	0	0.64
15	5	0.64

17	0	0.72
-1	-0	0.68

17	-0	0.68
16	5	0.68

18	-0	0.76
-1	0	0.72

18	0	0.72
17	5	0.72

19	0	0.8
-1	-0	0.76

19	-0	0.76
18	5	0.76

20	-0	0.84
-1	0	0.8

20	0	0.8
19	5	0.8

21	0	0.88
-1	-0	0.84

21	-0	0.84
20	5	0.84

22	-0	0.92
-1	0	0.88

22	0	0.88
21	5	0.88

23	0	0.96
-1	-0	0.92

23	-0	0.92
22	5	0.92

24	-0	1
-1	0	0.96

24	0	0.96
23	5	0.96

25	0	1.04
-1	-0	1

25	-0	1
24	5	1

26	-0	1.08
-1	0	1.04

26	0	1.04
25	5	1.04

27	0	1.12
-1	-0	1.08

27	-0	1.08
26	5	1.08

28	-0	1.16
-1	0	1.12

28	0	1.12
27	5	1.12

29	0	1.2
-1	-0	1.16

29	-0	1.16
28	5	1.16

30	-0	1.24
-1	0	1.2

30	0	1.2
29	5	1.2

31	0	1.28
-1	-0	1.24

31	-0	1.24
30	5	1.24

32	-0	1.32
-1	0	1.28

32	0	1.28
31	5	1.28

33	0	1.36
-1	-0	1.32

33	-0	1.32
32	5	1.32

34	-0	1.4
-1	0	1.36

34	0	1.36
33	5	1.36

35	0	1.44
-1	-0	1.4

35	-0	1.4
34	5	1.4

36	-0	1.48
-1	0	1.44

36	0	1.44
35	5	1.44

37	0	1.52
-1	-0	1.48

37	-0	1.48
36	5	1.48

38	-0	1.56
-1	0	1.52

38	0	1.52
37	5	1.52

39	0	1.6
-1	-0	1.56

39	-0	1.56
38	5	1.56

40	-0	1.64
-1	0	1.6

40	0	1.6
39	5	1.6

41	0	1.68
-1	-0	1.64

41	-0	1.64
40	5	1.64

42	-0	1.72
-1	0	1.68

42	0	1.68
41	5	1.68

43	0	1.76
-1	-0	1.72

43	-0	1.72
42	5	1.72

44	-0	1.8
-1	0	1.76

44	0	1.76
43	5	1.76

45	0	1.84
-1	-0	1.8

45	-0	1.8
44	5	1.8

46	-0	1.88
-1	0	1.84

46	0	1.84
45	5	1.84

47	0	1.92
-1	-0	1.88

47	-0	1.88
46	5	1.88

48	-0	1.96
-1	0	1.92

48	0	1.92
47	5	1.92

49	5	2
-1	0	2

49	0	2
-1	-0	1.96

49	-0	1.96
48	5	1.96

50	5	0.04
0	5	-0

50	5	-0
-1	10	0

50	10	0
-1	10	0.04

51	5	0.08
1	5	0.04

51	5	0.04
50	10	0.04

51	10	0.04
-1	10	0.08

52	5	0.12
2	5	0.08

52	5	0.08
51	10	0.08

52	10	0.08
-1	10	0.12

53	5	0.16
3	5	0.12

53	5	0.12
52	10	0.12

53	10	0.12
-1	10	0.16

54	5	0.2
4	5	0.16

54	5	0.16
53	10	0.16

54	10	0.16
-1	10	0.2

55	5	0.24
5	5	0.2

55	5	0.2
54	10	0.2

55	10	0.2
-1	10	0.24

56	5	0.28
6	5	0.24

56	5	0.24
55	10	0.24

56	10	0.24
-1	10	0.28

57	5	0.32
7	5	0.28

57	5	0.28
56	10	0.28

57	10	0.28
-1	10	0.32

58	5	0.36
8	5	0.32

58	5	0.32
57	10	0.32

58	10	0.32
-1	10	0.36

59	5	0.4
9	5	0.36

59	5	0.36
58	10	0.36

59	10	0.36
-1	10	0.4

60	5	0.44
10	5	0.4

60	5	0.4
59	10	0.4

60	10	0.4
-1	10	0.44

61	5	0.48
11	5	0.44

61	5	0.44
60	10	0.44

61	10	0.44
-1	10	0.48

62	5	0.52
12	5	0.48

62	5	0.48
61	10	0.48

62	10	0.48
-1	10	0.52

63	5	0.56
13	5	0.52

63	5	0.52
62	10	0.52

63	10	0.52
-1	10	0.56

64	5	0.6
14	5	0.56

64	5	0.56
63	10	0.56

64	10	0.56
-1	10	0.6

65	5	0.64
15	5	0.6

65	5	0.6
64	10	0.6

65	10	0.6
-1	10	0.64

66	5	0.68
16	5	0.64

66	5	0.64
65	10	0.64

66	10	0.64
-1	10	0.68

67	5	0.72
17	5	0.68

67	5	0.68
