# R2D2 boundary information
0	top1	21	394	0	395
1	top3	36	392	21	394
2	top4	46	390	36	392
3	top5	91	380	46	390
4	top6	109	376	91	380
5	top7	121	375	109	376
6	top8	199	368	121	375
7	top9	206	367	199	368
8	top10	270	358	206	367
9	top11	286	356	270	358
10	top12	327	356	286	356
11	top13	390	351	327	356
12	top14	430	350	390	351
