# R2D2 triangularized dual grid
1299	0	-1	4.3	304.3	4.215686275	310.245098	3.155228758	307.0650327		0	1459	1299	
0	1459	-1	4.215686275	310.245098	0.95	306.65	3.155228758	307.0650327		0	1459	1299	
1459	1299	-1	0.95	306.65	4.3	304.3	3.155228758	307.0650327		0	1459	1299	
40	0	-1	12.64705882	310.245098	4.215686275	310.245098	7.054248366	308.2633987		0	1299	40	
0	1299	-1	4.215686275	310.245098	4.3	304.3	7.054248366	308.2633987		0	1299	40	
1299	40	-1	4.3	304.3	12.64705882	310.245098	7.054248366	308.2633987		0	1299	40	
1	0	-1	4.215686275	312.1078431	4.215686275	310.245098	8.431372549	311.1764706		0	40	41	1	
0	40	-1	4.215686275	310.245098	12.64705882	310.245098	8.431372549	311.1764706		0	40	41	1	
40	41	-1	12.64705882	310.245098	12.64705882	312.1078431	8.431372549	311.1764706		0	40	41	1	
41	1	-1	12.64705882	312.1078431	4.215686275	312.1078431	8.431372549	311.1764706		0	40	41	1	
1457	0	-1	0.95	310.45	4.215686275	310.245098	3.127124183	310.9343137		0	1	1457	
0	1	-1	4.215686275	310.245098	4.215686275	312.1078431	3.127124183	310.9343137		0	1	1457	
1	1457	-1	4.215686275	312.1078431	0.95	310.45	3.127124183	310.9343137		0	1	1457	
1458	0	-1	0.95	308.55	4.215686275	310.245098	2.038562092	309.748366		0	1457	1458	
0	1457	-1	4.215686275	310.245098	0.95	310.45	2.038562092	309.748366		0	1457	1458	
1457	1458	-1	0.95	310.45	0.95	308.55	2.038562092	309.748366		0	1457	1458	
1459	0	-1	0.95	306.65	4.215686275	310.245098	2.038562092	308.4816993		0	1458	1459	
0	1458	-1	4.215686275	310.245098	0.95	308.55	2.038562092	308.4816993		0	1458	1459	
1458	1459	-1	0.95	308.55	0.95	306.65	2.038562092	308.4816993		0	1458	1459	
2	1	-1	4.215686275	313.9705882	4.215686275	312.1078431	8.431372549	313.0392157		1	41	42	2	
1	41	-1	4.215686275	312.1078431	12.64705882	312.1078431	8.431372549	313.0392157		1	41	42	2	
41	42	-1	12.64705882	312.1078431	12.64705882	313.9705882	8.431372549	313.0392157		1	41	42	2	
42	2	-1	12.64705882	313.9705882	4.215686275	313.9705882	8.431372549	313.0392157		1	41	42	2	
1456	1	-1	0.95	312.35	4.215686275	312.1078431	3.127124183	312.8094771		1	2	1456	
1	2	-1	4.215686275	312.1078431	4.215686275	313.9705882	3.127124183	312.8094771		1	2	1456	
2	1456	-1	4.215686275	313.9705882	0.95	312.35	3.127124183	312.8094771		1	2	1456	
1457	1	-1	0.95	310.45	4.215686275	312.1078431	2.038562092	311.6359477		1	1456	1457	
1	1456	-1	4.215686275	312.1078431	0.95	312.35	2.038562092	311.6359477		1	1456	1457	
1456	1457	-1	0.95	312.35	0.95	310.45	2.038562092	311.6359477		1	1456	1457	
3	2	-1	4.215686275	315.8333333	4.215686275	313.9705882	8.431372549	314.9019608		2	42	43	3	
2	42	-1	4.215686275	313.9705882	12.64705882	313.9705882	8.431372549	314.9019608		2	42	43	3	
42	43	-1	12.64705882	313.9705882	12.64705882	315.8333333	8.431372549	314.9019608		2	42	43	3	
43	3	-1	12.64705882	315.8333333	4.215686275	315.8333333	8.431372549	314.9019608		2	42	43	3	
1455	2	-1	0.95	314.25	4.215686275	313.9705882	3.127124183	314.6846405		2	3	1455	
2	3	-1	4.215686275	313.9705882	4.215686275	315.8333333	3.127124183	314.6846405		2	3	1455	
3	1455	-1	4.215686275	315.8333333	0.95	314.25	3.127124183	314.6846405		2	3	1455	
1456	2	-1	0.95	312.35	4.215686275	313.9705882	2.038562092	313.5235294		2	1455	1456	
2	1455	-1	4.215686275	313.9705882	0.95	314.25	2.038562092	313.5235294		2	1455	1456	
1455	1456	-1	0.95	314.25	0.95	312.35	2.038562092	313.5235294		2	1455	1456	
4	3	-1	4.215686275	317.6960784	4.215686275	315.8333333	8.431372549	316.7647059		3	43	44	4	
3	43	-1	4.215686275	315.8333333	12.64705882	315.8333333	8.431372549	316.7647059		3	43	44	4	
43	44	-1	12.64705882	315.8333333	12.64705882	317.6960784	8.431372549	316.7647059		3	43	44	4	
44	4	-1	12.64705882	317.6960784	4.215686275	317.6960784	8.431372549	316.7647059		3	43	44	4	
1454	3	-1	0.95	316.15	4.215686275	315.8333333	3.127124183	316.5598039		3	4	1454	
3	4	-1	4.215686275	315.8333333	4.215686275	317.6960784	3.127124183	316.5598039		3	4	1454	
4	1454	-1	4.215686275	317.6960784	0.95	316.15	3.127124183	316.5598039		3	4	1454	
1455	3	-1	0.95	314.25	4.215686275	315.8333333	2.038562092	315.4111111		3	1454	1455	
3	1454	-1	4.215686275	315.8333333	0.95	316.15	2.038562092	315.4111111		3	1454	1455	
1454	1455	-1	0.95	316.15	0.95	314.25	2.038562092	315.4111111		3	1454	1455	
5	4	-1	4.215686275	319.5588235	4.215686275	317.6960784	8.431372549	318.627451		4	44	45	5	
4	44	-1	4.215686275	317.6960784	12.64705882	317.6960784	8.431372549	318.627451		4	44	45	5	
44	45	-1	12.64705882	317.6960784	12.64705882	319.5588235	8.431372549	318.627451		4	44	45	5	
45	5	-1	12.64705882	319.5588235	4.215686275	319.5588235	8.431372549	318.627451		4	44	45	5	
1453	4	-1	0.95	318.05	4.215686275	317.6960784	3.127124183	318.4349673		4	5	1453	
4	5	-1	4.215686275	317.6960784	4.215686275	319.5588235	3.127124183	318.4349673		4	5	1453	
5	1453	-1	4.215686275	319.5588235	0.95	318.05	3.127124183	318.4349673		4	5	1453	
